#a1 a2 eps sig(A)
S0aUa B0uAg 1.00 10.00
B0aUa S0uAg 1.00 10.00
B0aUa B0uAg 1.00  6.00
#S0uAg S0uUa 1.00 14.00
S0uAg B0uUa 1.00 10.00
B0uAg S0uUa 1.00 10.00
B0uAg B0uUa 1.00  6.00
#S0gUa S0uAg 1.00 14.00
S0gUa B0uAg 1.00 10.00
B0gUa S0uAg 1.00 10.00
B0gUa B0uAg 1.00  6.00
#S0cUa S0uAg 2.00 14.00
S0cUa B0uAg 2.00 10.00
B0cUa S0uAg 2.00 10.00
B0cUa B0uAg 2.00  6.00
#S0cUu S0uAg 1.00 14.00
S0cUu B0uAg 1.00 10.00
B0cUu S0uAg 1.00 10.00
B0cUu B0uAg 1.00  6.00
#S0cUg S0uAg 1.00 14.00
S0cUg B0uAg 1.00 10.00
B0cUg S0uAg 1.00 10.00
B0cUg B0uAg 1.00  6.00
#S0cUc S0uAg 1.00 14.00
S0cUc B0uAg 1.00 10.00
B0cUc S0uAg 1.00 10.00
B0cUc B0uAg 1.00  6.00
#S0cUt S0uAg 1.00 14.00
S0cUt B0uAg 1.00 10.00
B0cUt S0uAg 1.00 10.00
B0cUt B0uAg 1.00  6.00
#S0cU3 S0uAg 1.00 14.00
S0cU3 B0uAg 1.00 10.00
B0cU3 S0uAg 1.00 10.00
B0cU3 B0uAg 1.00  6.00
#S0tUa S0uAg 1.00 14.00
S0tUa B0uAg 1.00 10.00
B0tUa S0uAg 1.00 10.00
B0tUa B0uAg 1.00  6.00
#S05Ua S0uAc 1.00 14.00
S05Ua B0uAc 1.00 10.00
B05Ua S0uAc 1.00 10.00
B05Ua B0uAc 1.00  6.00
#S0aUa S0uAc 1.00 14.00
S0aUa B0uAc 1.00 10.00
B0aUa S0uAc 1.00 10.00
B0aUa B0uAc 1.00  6.00
#S0uAc S0uUa 1.00 14.00
S0uAc B0uUa 1.00 10.00
B0uAc S0uUa 1.00 10.00
B0uAc B0uUa 1.00  6.00
#S0gUa S0uAc 2.00 14.00
S0gUa B0uAc 2.00 10.00
B0gUa S0uAc 2.00 10.00
B0gUa B0uAc 2.00  6.00
#S0gUu S0uAc 1.00 14.00
S0gUu B0uAc 1.00 10.00
B0gUu S0uAc 1.00 10.00
B0gUu B0uAc 1.00  6.00
#S0gUg S0uAc 1.00 14.00
S0gUg B0uAc 1.00 10.00
B0gUg S0uAc 1.00 10.00
B0gUg B0uAc 1.00  6.00
#S0gUc S0uAc 1.00 14.00
S0gUc B0uAc 1.00 10.00
B0gUc S0uAc 1.00 10.00
B0gUc B0uAc 1.00  6.00
#S0gUt S0uAc 1.00 14.00
S0gUt B0uAc 1.00 10.00
B0gUt S0uAc 1.00 10.00
